The University of Chicago Booth School of Business,chicagobooth.edu,IL
College of Lake County,clcillinois.edu,IL
College of DuPage,cod.edu,IL
Columbia College Chicago,colum.edu,IL
Danville Area Community College,dacc.edu,IL
DePaul University,depaul.edu,IL
Dominican University,dom.edu,IL
Eastern Illinois University,eiu.edu,IL
Elmhurst College,elmhurst.edu,IL
Governors State,govst.edu,IL
Greenville College,greenville.edu,IL
The Hadley School for the Blind,hadley.edu,IL
Harper College,harpercollege.edu,IL
Heartland Community College,heartland.edu,IL
Illinois Central College,icc.edu,IL
Illinois College of Optometry,ico.edu,IL
Illinois Institute of Technology,iit.edu,IL
University of Illinois at Urbana-Champaign,illinois.edu,IL
Illinois State University,illinoisstate.edu,IL
Illinois Mathematics and Science Academy,imsa.edu,IL
Illinois Valley Community College,ivcc.edu,IL
Illinois Wesleyan University,iwu.edu,IL
John A. Logan College,jalc.edu,IL
Joliet Junior College,jjc.edu,IL
The John Marshall Law School,jmls.edu,IL
Judson University,judsonu.edu,IL
Kaskaskia College,kaskaskia.edu,IL
Kankakee Community College,kcc.edu,IL
IIT Chicago-Kent College of Law,iit.edu,IL
Kishwaukee College,kishwaukeecollege.edu,IL
Knox College,knox.edu,IL
Lake Forest College,lakeforest.edu,IL
Lakeview College of Nursing,lakeviewcol.edu,IL
Lewis and Clark Community College,lc.edu,IL
Lewis University,lewisu.edu,IL
Lincoln Land Community College,llcc.edu,IL
Loyola University Chicago,luc.edu,IL
Midwestern Career College,mccollege.edu,IL
McHenry County College,mchenry.edu,IL
McKendree University,mckendree.edu,IL
Midwestern University,midwestern.edu,IL
Monmouth College,monmouthcollege.edu,IL
Moraine Valley Community College,morainevalley.edu,IL
Morton College,morton.edu,IL
Northeastern Illinois University,neiu.edu,IL
Northern Illinois University,niu.edu,IL
National Louis University,nl.edu,IL
North Park University,northpark.edu,IL
Northwestern University,northwestern.edu,IL
Oakton Community College,oakton.edu,IL
Olivet Nazarene University,olivet.edu,IL
Chicago ORT Technical Institute,ortchicagotech.edu,IL
Parkland College,parkland.edu,IL
Prairie State College,prairiestate.edu,IL
Principia College,principiacollege.edu,IL
Resurrection University,resu.edu,IL
Robert Morris University Illinois,robertmorris.edu,IL
Rockford University,rockford.edu,IL
Rock Valley College,rockvalleycollege.edu,IL
Roosevelt University,roosevelt.edu,IL
Rosalind Franklin University,rosalindfranklin.edu,IL
Saint Anthony College of Nursing,sacn.edu,IL
School of the Art Institute of Chicago,saic.edu,IL
Saint Francis Medical Center College of Nursing,sfmccon.edu,IL
Shawnee Community College,shawneecc.edu,IL
Southeastern Illinois College,sic.edu,IL
Southern Illinois University,siu.edu,IL
Southern Illinois University Edwardsville,siue.edu,IL
Spoon River College,src.edu,IL
South Suburban College,ssc.edu,IL
University of Saint Francis,stfrancis.edu,IL
Southwestern Illinois College,swic.edu,IL
Saint Xavier University,scu.edu,IL
Trinity Christian College,trnty.edu,IL
University of Chicago,uchicago.edu,IL
University of Illinois at Chicago,uic.edu,IL
University of Illinois,uillinois.edu,IL
University of Illinois Springfield,uis.edu,IL
University of Illinois at Urbana-Champaign,illinois.edu,IL
Waubonsee Community College,waubonsee.edu,IL
Wheaton College,wheaton.edu,IL
Western Illinois University,wiu.edu,IL
Saint John's College,stjohnscollegespringfield.edu,Ill
Anabaptist Mennonite Biblical Seminary,ambs.edu,IN
Anderson University,anderson.edu,IN
Bethel College Indiana,bethelcollege.edu,IN
Brown Mackie College,brownmackie.edu,IN
Ball State University,bsu.edu,IN
Butler University,butler.edu,IN
DePauw University,depauw.edu,IN
Earlham College,earlham.edu,IN
University of Evansville,evansville.edu,IN
Goshen College,goshen.edu,IN
Grace College and Seminary,grace.edu,IN
Hanover College,hanover.edu,IN
Harrison College,harrison.edu,IN
Holy Cross College,hcc-nd.edu,IN
Indiana University,indiana.edu,IN
Indiana State University,indstate.edu,IN
Indiana Wesleyan University,indwes.edu,IN
Indiana University - Purdue University Fort Wayne,ipfw.edu,IN
Indiana University,iu.edu,IN
Indiana University Bloomington,iub.edu,IN
Indiana University East,iue.edu,IN
Indiana University Northwest,iun.edu,IN
Indiana University - Purdue University Indianapolis,iupui.edu,IN
Indiana University Southeast,ius.edu,IN
Indiana University South Bend,iusb.edu,IN
Ivy Tech Community College,ivytech.edu,IN
Manchester University,manchester.edu,IN
Marian University Indianapolis,marian.edu,IN
University of Notre Dame,nd.edu,IN
Oakland City University,oak.edu,IN
Purdue University North Central,pnc.edu,IN
Purdue University,purdue.edu,IN
Purdue University Calumet,purduecal.edu,IN
Rose-Hulman Institute of Technology,rose-hulman.edu,IN
Saint Mary's College,saintmarys.edu,IN
Trine University,trine.edu,IN
University of Indianapolis,uindy.edu,IN
University of Southern Indiana,usi.edu,IN
Valparaiso University,valpo.edu,IN
Wabash College,wabash.edu,IN
Benedictine College,benedictine.edu,KS
Butler Community College,butlercc.edu,KS
Emporia State University,emporia.edu,KS
Fort Hays State University,fhsu.edu,KS
Flint Hills Technical College,fhtc.edu,KS
Fort Scott Community College,fortscott.edu,KS
Garden City Community College,gcccks.edu,KS
Hesston College,hesston.edu,KS
Highland Community College,highlandcc.edu,KS
Johnson County Community College,jccc.edu,KS
Kansas City Kansas Community College,kckcc.edu,KS
Kansas State University,k-state.edu,KS
The University of Kansas,ku.edu,KS
McPherson College,mcpherson.edu,KS
Neosho County Community College,neosho.edu,KS
Newman University,newmanu.edu,KS
Pittsburg State University,pittstate.edu,KS
Saint Paul School of Theology and Ministry,spst.edu,KS
Sterling College,sterling.edu,KS
University of Saint Mary,stmary.edu,KS
Washburn University,washburn.edu,KS
Washburn University School of Law,washburnlaw.edu,KS
Wichita State University,wichita.edu,KS
Asbury University,asbury.edu,KY
Bellarmine University,bellarmine.edu,KY
Berea College,berea.edu,KY
Centre College,centre.edu,KY
Eastern Kentucky University,eku.edu,KY
Frontier Nursing University,frontier.edu,KY
Georgetown College,georgetowncollege.edu,KY
Kentucky Community and Technical College System,kctcs.edu,KY
Kentucky Christian University,kcu.edu,KY
Kentucky State University,kysu.edu,KY
Lindsey Wilson College,lindsey.edu,KY
The University of Louisville,louisville.edu,KY
Midway College,midway.edu,KY
Morehead State University,moreheadstate.edu,KY
Murray State University,murraystate.edu,KY
Northern Kentucky University,nku.edu,KY
The Southern Baptist Theological Seminary,sbts.edu,KY
Saint Catharine College,sccky.edu,KY
Sullivan University,sullivan.edu,KY
University of the Cumberlands,ucumberlands.edu,KY
Western Kentucky University,wku.edu,KY
Bossier Parish Community College,bpcc.edu,LA
Centenary College of Louisiana,centenary.edu,LA
Louisiana Tech University,latech.edu,LA
Louisiana Culinary Institute,lci.edu,LA
University of Louisiana Lafayette,louisiana.edu,LA
Loyola University New Orleans,loyno.edu,LA
